NDB 2.3      | NDB: ~2.3.0     | Time:  1.432 s | Memory: 19.1 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.416 s | Memory: 19.1 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  5.088 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.209 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time: 18.063 s | Memory: 37.2 MB | PHP: 5.6.5


NDB 2.0      | Nette: 2.0.18   | Time: 14.184 s | Memory: 15.8 MB | PHP: 5.6.5
NDB 2.1      | Nette: 2.1.9    | Time:  1.174 s | Memory: 14.6 MB | PHP: 5.6.5
NDB 2.2      | NDB: ~2.2.0     | Time:  1.225 s | Memory: 14.3 MB | PHP: 5.6.5
NDB 2.3      | NDB: ~2.3.0     | Time:  1.340 s | Memory: 16.6 MB | PHP: 5.6.5
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.278 s | Memory: 16.6 MB | PHP: 5.6.5
NotORM       | NotORM: dev-master | Time:  4.891 s | Memory: 13.0 MB | PHP: 5.6.5
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.217 s | Memory: 16.8 MB | PHP: 5.6.5
Doctrine2    | Doctrine: 2.4.2 | Time:  5.935 s | Memory: 35.2 MB | PHP: 5.6.5



NDB 2.0      | Nette: 2.0.18   | Time: 14.546 s | Memory: 18.2 MB | PHP: 5.5.21
NDB 2.1      | Nette: 2.1.9    | Time:  1.254 s | Memory: 17.2 MB | PHP: 5.5.21
NDB 2.2      | NDB: ~2.2.0     | Time:  1.269 s | Memory: 16.9 MB | PHP: 5.5.21
NDB 2.3      | NDB: ~2.3.0     | Time:  1.324 s | Memory: 19.1 MB | PHP: 5.5.21
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.311 s | Memory: 19.1 MB | PHP: 5.5.21
NotORM       | NotORM: dev-master | Time:  5.207 s | Memory: 13.1 MB | PHP: 5.5.21
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.210 s | Memory: 16.8 MB | PHP: 5.5.21
Doctrine2    | Doctrine: 2.4.2 | Time: 17.631 s | Memory: 37.1 MB | PHP: 5.5.21


NDB 2.0      | Nette: 2.0.18   | Time: 14.301 s | Memory: 15.7 MB | PHP: 5.5.21
NDB 2.1      | Nette: 2.1.9    | Time:  1.156 s | Memory: 14.6 MB | PHP: 5.5.21
NDB 2.2      | NDB: ~2.2.0     | Time:  1.143 s | Memory: 14.3 MB | PHP: 5.5.21
NDB 2.3      | NDB: ~2.3.0     | Time:  1.241 s | Memory: 16.5 MB | PHP: 5.5.21
NDB 2.4-dev  | NDB: 2.3.0@dev  | Time:  1.238 s | Memory: 16.5 MB | PHP: 5.5.21
NotORM       | NotORM: dev-master | Time:  5.055 s | Memory: 13.1 MB | PHP: 5.5.21
LeanMapper   | LeanMapper: ~2.1.0 | Time:  1.179 s | Memory: 16.8 MB | PHP: 5.5.21
Doctrine2    | Doctrine: 2.4.2 | Time:  5.607 s | Memory: 35.1 MB | PHP: 5.5.21



